Geracao,Max conflitos geracao,Min conflitos geracao,Media conflitos geracao
1,13,3,6.7073170731707314
2,9,3,6.073170731707317
3,9,3,5.878048780487805
4,9,3,5.902439024390244
5,9,3,5.341463414634147
6,8,2,5.219512195121951
7,10,2,5.414634146341464
8,10,2,5.2439024390243905
9,8,2,4.902439024390244
10,8,2,5.0
11,8,2,4.804878048780488
12,9,2,4.2926829268292686
13,9,2,4.634146341463414
14,9,2,4.390243902439025
15,8,2,3.731707317073171
16,7,2,3.5853658536585367
17,8,2,3.5121951219512195
18,7,2,3.048780487804878
19,5,2,2.902439024390244
20,5,2,2.8536585365853657
21,8,2,2.8536585365853657
22,6,2,2.731707317073171
23,6,2,2.6097560975609757
24,6,2,2.658536585365854
25,7,2,2.951219512195122
26,5,2,2.4634146341463414
27,6,2,2.4878048780487805
28,6,1,2.4878048780487805
29,5,1,2.5121951219512195
30,5,1,2.5365853658536586
31,5,1,2.341463414634146
32,4,1,1.829268292682927
33,5,1,1.9024390243902438
34,5,1,1.9024390243902438
35,6,1,2.0
36,7,1,1.975609756097561
37,6,1,1.6097560975609757
38,7,1,1.975609756097561
39,5,1,1.853658536585366
40,4,1,1.7804878048780488
41,5,1,2.2195121951219514
42,4,1,1.9268292682926829
43,4,1,1.5609756097560976
44,5,1,1.7317073170731707
45,5,1,1.975609756097561
46,4,1,1.6341463414634145
47,5,1,1.8048780487804879
48,6,1,2.0
49,4,1,1.6585365853658536
50,4,1,1.7804878048780488
51,6,1,2.048780487804878
52,5,1,1.975609756097561
53,5,1,1.951219512195122
54,6,1,2.073170731707317
55,6,1,1.975609756097561
56,6,1,1.7804878048780488
57,4,1,1.8048780487804879
58,4,1,1.4878048780487805
59,5,1,1.6341463414634145
60,5,1,1.7560975609756098
61,4,1,1.3658536585365855
62,5,1,1.6585365853658536
63,5,1,1.6829268292682926
64,6,1,1.6341463414634145
65,5,1,1.5121951219512195
66,4,1,1.4634146341463414
67,4,1,1.3902439024390243
68,4,1,1.4634146341463414
69,5,1,1.829268292682927
70,5,1,1.7560975609756098
71,6,0,1.7560975609756098
72,6,0,1.8780487804878048
73,6,0,1.5121951219512195
74,5,0,1.4390243902439024
75,4,0,1.2926829268292683
76,4,0,1.4878048780487805
77,3,0,1.024390243902439
78,6,0,1.2926829268292683
79,3,0,1.0975609756097562
80,4,0,0.8536585365853658
81,4,0,0.7073170731707317
82,6,0,1.0
83,3,0,0.5853658536585366
84,3,0,0.5853658536585366
85,3,0,0.6829268292682927
86,4,0,0.6829268292682927
87,3,0,0.975609756097561
88,4,0,1.3658536585365855
89,4,0,1.1219512195121952
90,6,0,0.9024390243902439
91,8,0,0.8536585365853658
92,4,0,0.9024390243902439
93,3,0,0.8536585365853658
94,4,0,0.7804878048780488
95,3,0,0.6585365853658537
96,3,0,0.5609756097560976
97,3,0,0.5609756097560976
98,3,0,0.6829268292682927
99,3,0,0.7560975609756098
100,5,0,0.5121951219512195